"","ID","Nationality","Age","DaysSinceCreation","NameHash","DocIDHash","AverageLeadTime","LodgingRevenue","OtherRevenue","BookingsCanceled","BookingsNoShowed","BookingsCheckedIn","PersonsNights","RoomNights","DaysSinceLastStay","DaysSinceFirstStay","DistributionChannel","MarketSegment","SRHighFloor","SRLowFloor","SRAccessibleRoom","SRMediumFloor","SRBathtub","SRShower","SRCrib","SRKingSizeBed","SRTwinBed","SRNearElevator","SRAwayFromElevator","SRNoAlcoholInMiniBar","SRQuietRoom"
"10017",10017,"PRT","NULL",902,1.00436711809359e+77,4.32557292412142e+76,109,602.75,134,0,0,1,18,6,908,908,"Travel Agent/Operator","Other",1,0,0,0,0,0,0,1,0,0,0,0,0
"10018",10018,"ESP","43",902,1.05277635986791e+77,5.25308229280688e+76,22,225,192,0,0,1,6,3,905,905,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10019",10019,"PRT","27",902,1.14502727213498e+77,2.1078807689695e+76,1,87.82,2,0,0,1,2,1,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10020",10020,"AIA","53",902,1.03461910775212e+77,1.08347545957566e+77,0,988,111.5,0,0,1,16,4,906,906,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10021",10021,"NLD","54",902,9.45327186549707e+76,6.57010146247276e+76,184,84.3,63.5,0,0,1,2,1,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10022",10022,"GBR","20",902,3.46667100082726e+76,1.09357700322758e+77,127,613.8,84,0,0,1,4,2,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10023",10023,"FRA","42",902,7.07980633430946e+76,7.14930034432374e+76,120,1398,285,0,0,1,14,7,909,909,"Direct","Direct",0,0,0,0,0,0,0,0,0,0,0,0,0
"10024",10024,"FRA","47",902,9.64034377815397e+76,7.44592726150158e+76,120,1264.84,244,0,0,1,14,7,909,909,"Direct","Direct",0,0,0,0,0,0,0,0,0,0,0,0,0
"10025",10025,"FRA","46",902,1.98045244612484e+76,1.61532462430711e+76,112,318.75,102.5,0,0,1,10,5,907,907,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10026",10026,"SWE","33",902,2.59171763919222e+76,5.44950938246208e+75,0,477,327,0,0,1,4,1,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10027",10027,"DEU","42",901,8.32595734730041e+76,6.52556511493371e+75,128,480.25,35,0,0,1,10,5,906,906,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10028",10028,"DEU","51",901,7.82926558101129e+76,2.63853420966704e+76,133,222,36,0,0,1,6,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10029",10029,"ARG","68",901,3.59850227383834e+76,1.05940855165512e+77,269,200.64,103,0,0,1,6,3,904,904,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10030",10030,"CAN","57",901,1.04086216742061e+77,5.8493589461703e+76,72,105,2,0,0,1,2,1,902,902,"Direct","Direct",0,0,0,0,0,0,0,1,0,0,0,0,0
"10031",10031,"CHE","45",901,1.21046090112892e+76,1.12468145464305e+77,79,902.7,207,0,0,1,21,7,908,908,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10032",10032,"USA","53",901,5.05150221185735e+76,5.6575466066939e+75,57,93.3,14,0,0,1,2,1,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10033",10033,"CHE","34",901,1.99698536322671e+76,4.6028513020836e+75,60,403.8,86.5,0,0,1,8,4,905,905,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10034",10034,"PRT","NULL",901,3.10248384033447e+76,4.32557292412142e+76,2,118,40,0,0,2,2,2,502,902,"Corporate","Corporate",0,0,0,0,0,0,0,0,0,0,0,0,0
"10035",10035,"PRT","NULL",901,4.75175752459995e+76,4.32557292412142e+76,122,375.3,56,0,0,1,8,4,905,905,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10036",10036,"PRT","NULL",901,4.75175752459995e+76,4.32557292412142e+76,122,375.3,72,0,0,1,8,4,905,905,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10037",10037,"GBR","34",901,6.24135111372424e+76,2.81336817905528e+76,158,491.3,261,0,0,1,14,7,908,908,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10038",10038,"PRT","NULL",901,7.85566426617512e+76,4.32557292412142e+76,125,159.3,29,0,0,1,4,1,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10039",10039,"NLD","32",901,4.33411231256208e+76,4.92706779806297e+75,0,133,9.5,0,0,1,1,1,902,902,"Direct","Direct",0,0,0,0,0,0,0,0,0,0,0,0,0
"10040",10040,"FRA","28",901,7.77424600771215e+76,1.85958898380015e+76,6,73,7,0,0,1,1,1,902,902,"Corporate","Corporate",0,0,0,0,0,0,0,0,0,0,0,0,0
"10041",10041,"RUS","53",901,8.59611699814275e+76,3.01073551519956e+76,0,139,65.5,0,0,1,2,1,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10042",10042,"FRA","35",901,1.06761135482576e+76,5.0673176396629e+76,7,397,35,0,0,3,5,5,641,902,"Corporate","Corporate",0,0,0,0,0,0,0,1,0,0,0,0,0
"10043",10043,"DEU","18",901,1.49680522824165e+76,9.7107137706303e+76,117,594.25,210.5,0,0,1,15,5,906,906,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10044",10044,"PRT","NULL",901,5.75012277861311e+76,4.32557292412142e+76,90,252.45,49.75,0,0,1,9,3,904,904,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10045",10045,"ESP","59",901,4.68071891427404e+76,1.08379288752841e+77,51,509.4,120,0,0,1,12,4,905,905,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10046",10046,"SWE","29",901,3.76530617187488e+76,4.54338352413854e+76,27,278,59.6,0,0,1,4,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10047",10047,"FRA","55",901,2.58288805152857e+76,6.91876060044729e+76,89,144.84,4,0,0,1,4,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10048",10048,"FRA","69",901,1.12113100936324e+77,7.18238195157414e+76,2,139,14,0,0,1,2,1,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10049",10049,"FRA","64",901,2.36924882286498e+76,6.32031414560323e+76,147,198,24.5,0,0,1,4,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10050",10050,"CHE","47",901,7.37307534548319e+76,7.55111288162593e+76,30,901.8,147.6,0,0,1,18,6,907,907,"Travel Agent/Operator","Other",1,0,0,0,0,0,0,0,1,0,0,0,0
"10051",10051,"NOR","31",901,6.09899307699305e+76,8.31389522554328e+76,103,1430.75,376.5,0,0,1,30,15,916,916,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10052",10052,"DEU","61",901,4.95123514098391e+76,7.07931261804936e+76,6,320,130.5,0,0,1,2,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10053",10053,"PRT","46",901,8.22078819844302e+76,3.96524225426065e+76,53,301.5,30,0,0,1,6,3,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10054",10054,"JPN","65",901,4.71008796584261e+76,5.69601549588192e+76,12,278,16.5,0,0,1,2,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10055",10055,"JPN","36",901,7.85559392233269e+75,1.8111815864056e+76,12,834,42,0,0,1,2,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10056",10056,"FRA","28",901,9.73563724906739e+76,2.61057005473368e+76,35,212.3,52,0,0,1,4,2,903,903,"Direct","Direct",0,0,0,0,0,0,0,0,0,0,0,0,0
"10057",10057,"ESP","29",901,9.96930948466453e+76,6.60744851007356e+76,6,146,16.5,1,0,1,2,2,903,903,"Corporate","Corporate",0,0,0,0,0,0,0,0,0,0,0,0,0
"10058",10058,"ESP","24",901,8.98590043821683e+76,5.03821120921281e+76,13,438,42,0,0,1,2,2,903,903,"Corporate","Corporate",0,0,0,0,0,0,0,0,0,0,0,0,0
"10059",10059,"ESP","54",901,4.89035964716948e+76,9.78789773677212e+76,6,527,51,0,0,2,3,3,817,903,"Corporate","Corporate",0,0,0,0,0,0,0,0,0,0,0,0,0
"10060",10060,"CAN","38",901,1.08981804215572e+77,7.82375449573685e+76,152,558,76,0,0,1,2,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10061",10061,"NOR","48",901,1.14701825787381e+77,1.12550314367047e+76,177,605.7,235.9,0,0,1,15,3,904,904,"Direct","Direct",0,0,0,0,0,0,0,0,0,0,0,0,0
"10062",10062,"PRT","NULL",901,8.35652309763425e+76,4.32557292412142e+76,152,522,112.5,0,0,1,4,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10063",10063,"PRT","NULL",901,8.35652309763425e+76,4.32557292412142e+76,152,522,204,0,0,1,4,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,1,1,0,0,0,0,0
"10064",10064,"CAN","40",901,6.07008865066045e+76,2.15911989202083e+76,152,522,201,0,0,1,4,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,1,1,0,0,0,0,0
"10065",10065,"DEU","45",901,4.79367177111755e+76,1.78524713677571e+76,1,308,46,0,0,1,6,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10066",10066,"PRT","NULL",901,2.38246354775414e+76,4.32557292412142e+76,34,495.6,153,0,0,1,8,4,905,905,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10067",10067,"CHE","26",901,8.15810638127812e+76,9.19763779164959e+75,155,318.75,52.5,0,0,1,10,5,906,906,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10068",10068,"BRA","38",901,7.84643128208636e+76,3.0630073725068e+76,111,375.3,118.5,0,0,1,8,4,905,905,"Travel Agent/Operator","Other",1,0,0,0,0,0,0,0,1,0,0,0,0
"10069",10069,"NLD","23",901,3.29154400658459e+76,1.22885939609451e+76,176,646,14,0,0,1,16,8,909,909,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10070",10070,"PRT","NULL",901,7.17083693734602e+76,4.32557292412142e+76,78,1105.2,61,0,0,1,9,9,910,910,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10071",10071,"CHE","45",901,5.96179888495456e+76,1.122793217602e+77,151,450.9,101.5,0,0,1,9,3,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10072",10072,"GBR","23",901,6.67160136173573e+76,9.95969405167378e+76,82,221.1,116,0,0,1,6,3,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10073",10073,"PRT","NULL",901,5.78679647258019e+76,4.32557292412142e+76,45,509.4,113.5,0,0,1,12,4,905,905,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10074",10074,"IRL","38",901,6.23385222818197e+76,2.13377862954013e+76,132,589.05,113.25,0,0,1,21,7,908,908,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10075",10075,"PRT","NULL",901,4.11835256922423e+76,4.32557292412142e+76,159,153.9,31,0,0,1,4,1,902,902,"Direct","Direct",0,0,0,0,0,0,0,0,0,0,0,0,0
"10076",10076,"BEL","34",901,5.93195195687485e+76,6.05086711525357e+76,12,300,48,0,0,1,8,4,905,905,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10077",10077,"GBR","23",901,7.95431104899544e+76,9.41160026591993e+76,154,297.9,65,0,0,1,6,3,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10078",10078,"AUS","35",901,3.30511485502899e+76,8.37484837189355e+76,12,417,129.5,0,0,1,6,3,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10079",10079,"IRL","39",901,1.74525042481777e+76,5.86369289153158e+76,112,446.25,73.5,0,0,1,14,7,908,908,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10080",10080,"GBR","53",901,8.43478274137222e+76,1.10959812542691e+77,154,1015.2,126,0,0,1,6,3,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10081",10081,"DEU","54",901,8.17988756375823e+76,3.28554824568048e+76,117,1296.75,510,0,0,1,10,5,906,906,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10082",10082,"GBR","47",901,6.46007345102507e+76,5.29089841063681e+76,55,551.28,105,0,0,1,12,4,905,905,"Direct","Direct",0,0,0,0,0,0,0,0,0,0,0,0,0
"10083",10083,"AUT","49",901,9.00295688459346e+76,4.25146738103769e+76,36,711,178.5,0,0,1,4,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10084",10084,"AUT","53",901,9.78271909380898e+76,9.0179212451753e+76,36,259.8,24,0,0,1,2,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10085",10085,"NOR","19",901,1.03293355296847e+77,6.01090424939889e+75,17,834,366,0,0,1,4,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10086",10086,"NOR","50",901,1.12178978983716e+77,3.97049182558739e+76,17,338,57,0,0,1,6,2,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10087",10087,"USA","43",901,1.01003122508341e+77,1.34706265825156e+75,0,0,0,0,0,0,0,0,-1,-1,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10088",10088,"FRA","50",900,9.01068255359714e+76,4.82567261565392e+76,103,280.02,54,0,0,1,9,3,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10089",10089,"DNK","48",900,6.27098201772243e+76,1.75608836253799e+76,131,486,74.5,0,0,1,12,4,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10090",10090,"PRT","55",900,2.13322923684511e+76,4.32557292412142e+76,113,465.2,168.5,0,0,1,12,4,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10091",10091,"DNK","52",900,8.897465729055e+76,1.09409917230249e+77,52,239.4,42,0,0,1,6,2,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10092",10092,"PRT","67",900,5.40525841725886e+76,1.02384967808898e+76,3,336.45,21,0,0,1,3,3,903,903,"Corporate","Corporate",0,0,0,0,0,0,0,0,0,0,0,0,0
"10093",10093,"PRT","NULL",900,5.34886251193159e+76,8.07497360875098e+75,3,548,146.5,0,0,1,4,4,904,904,"Corporate","Corporate",0,0,0,0,0,0,0,0,0,0,0,0,0
"10094",10094,"PRT","NULL",900,6.172753398991e+76,4.32557292412142e+76,91,391.2,56,0,0,1,8,4,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10095",10095,"FRA","50",900,2.83103461591223e+76,1.37410529940821e+76,145,350,28,0,0,1,4,4,904,904,"Direct","Direct",0,0,0,0,0,0,0,0,0,0,0,0,0
"10096",10096,"GBR","50",900,5.921211181771e+75,4.99117051071005e+76,86,336.6,81,0,0,1,12,4,904,904,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10097",10097,"ISR","62",900,1.14230229088463e+77,5.02598386602094e+76,20,507,101.5,0,0,1,9,3,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10098",10098,"NOR","50",900,2.55520635288073e+76,8.30981024851647e+76,84,119.7,23.5,0,0,1,3,1,901,901,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10099",10099,"IRL","27",900,8.00447790417358e+76,4.13101640579875e+76,65,452.4,61.5,0,0,1,8,4,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10100",10100,"NOR","45",900,9.092656574479e+76,7.19507923326905e+76,76,496.8,110,0,0,1,12,4,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10101",10101,"DNK","48",900,6.12372799747781e+76,6.32373224422196e+75,65,267,51,0,0,1,2,2,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10102",10102,"FRA","49",900,1.37036909837669e+76,2.3329693483626e+76,3,308,71.5,0,0,1,6,2,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10103",10103,"LUX","31",900,8.69665462142553e+76,9.19366295916275e+76,7,264.6,484,0,0,1,6,2,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,1,0,0,0,0,0,0
"10104",10104,"PRT","43",900,9.11764611373471e+76,4.80763865714479e+76,97,639,102,0,0,1,6,2,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10105",10105,"USA","43",900,1.01003122508341e+77,1.34706265825156e+75,97,213,34,0,0,1,6,2,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10106",10106,"FRA","38",900,3.80738289513926e+76,4.10621141830899e+75,93,213,35,0,0,1,6,2,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10107",10107,"ITA","24",900,1.06596539741535e+77,9.13793058061522e+76,65,768.6,151,0,0,1,18,6,906,906,"Travel Agent/Operator","Other",1,0,0,0,0,1,0,1,0,0,0,0,0
"10108",10108,"PRT","56",900,6.47446119693015e+76,1.002586576267e+77,143,69.08,18,0,0,1,2,1,901,901,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10109",10109,"PRT","19",900,7.44914433853914e+76,9.80003044523528e+76,143,94.03,15,0,0,1,3,1,901,901,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10110",10110,"ESP","42",900,6.15309032212541e+76,8.5339776197382e+76,101,191.25,194,0,0,1,6,3,903,903,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10111",10111,"PRT","NULL",900,9.02658087428025e+76,4.32557292412142e+76,101,219.06,335.18,0,0,1,9,3,903,903,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10112",10112,"ESP","39",900,4.90297533102523e+76,5.47841222029709e+75,64,127.5,49,0,0,1,4,2,902,902,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10113",10113,"PRT","49",900,9.963263775759e+76,1.07499210373692e+77,102,295.8,45.5,0,0,1,8,4,904,904,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10114",10114,"FRA","64",900,6.44799536453606e+76,6.44935136216443e+76,93,567,132,0,0,1,4,2,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10115",10115,"PRT","NULL",900,3.95640517528999e+76,4.32557292412142e+76,93,239.4,58,0,0,1,6,2,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10116",10116,"PRT","NULL",900,1.69883008398117e+76,4.32557292412142e+76,69,375,259.3,0,0,1,9,3,903,903,"Travel Agent/Operator","Direct",0,0,0,0,0,0,1,1,0,0,0,0,0
"10117",10117,"PRT","50",900,2.03231535519831e+76,3.78559935682021e+76,283,286.9,77,0,0,1,10,5,905,905,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10118",10118,"AUT","51",900,9.87144007582675e+76,3.74252669873548e+76,85,496.8,91.5,0,0,1,12,4,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10119",10119,"BEL","60",900,7.46429944425679e+76,9.17044227187243e+76,136,165,28,0,0,1,4,2,902,902,"Direct","Direct",0,0,0,0,0,0,0,0,0,0,0,0,0
"10120",10120,"USA","23",900,3.56486708871458e+76,1.15004772913664e+77,128,256.29,73.5,0,0,1,6,3,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10121",10121,"ESP","47",900,6.74834185534578e+76,8.17125955820242e+76,90,882.9,207,0,0,1,21,7,907,907,"Travel Agent/Operator","Other",1,0,0,0,0,0,0,0,0,0,0,0,0
"10122",10122,"FRA","51",900,8.38703914044468e+76,1.91914429539109e+76,75,396,82.25,0,0,1,8,4,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
"10123",10123,"PRT","27",900,1.28251140706484e+76,6.46996340098319e+76,143,186.6,46,0,0,1,4,2,902,902,"Travel Agent/Operator","Other",1,0,0,0,0,0,0,1,0,0,0,0,0
"10124",10124,"AUT","60",900,3.97452993158721e+76,9.23563590402314e+76,108,255,256.5,0,0,1,8,4,904,904,"Travel Agent/Operator","Travel Agent/Operator",0,0,0,0,0,0,0,0,0,0,0,0,0
"10125",10125,"DEU","31",900,2.78700259064085e+76,1.26038330196716e+76,110,288.9,42,0,0,1,6,3,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10126",10126,"LBN","50",900,5.68412223259524e+76,1.00553864750752e+77,6,462,52,0,0,1,9,3,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10127",10127,"AUT","52",900,8.70729404126345e+76,1.07676561893033e+77,30,247.8,51,0,0,1,4,2,902,902,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,1,0,0,0,0,0
"10128",10128,"GBR","61",900,1.02416490994582e+77,4.67985057326268e+76,9,731.15,309.5,0,0,1,14,7,907,907,"Direct","Direct",0,0,0,0,0,0,0,0,0,0,0,0,0
"10129",10129,"DNK","41",900,1.00433168390012e+76,2.18032406572607e+76,119,786.4,95,0,0,1,20,4,904,904,"Direct","Direct",0,0,0,0,0,0,0,0,0,0,0,0,0
"10130",10130,"POL","49",900,4.14266185446921e+76,1.11148504222687e+77,50,496.8,152,0,0,1,12,4,904,904,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,0,0,0,0,0
"10131",10131,"FRA","24",900,2.08749505223569e+76,3.62406060650577e+76,18,295.38,42,0,0,1,6,3,903,903,"Travel Agent/Operator","Other",0,0,0,0,0,0,0,0,1,0,0,0,0
